Path,Author,Modifier,DateCreated,DateSaved
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/MOH 705B_Out Patient Summary_Over 5 years.xls,Robert Wathondu, JAMES SAINA,1/27/2008 13:30,1/14/2009 7:48
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/MOH 710_Immunization Summary.xls,Robert Wathondu, JAMES SAINA,2/7/2008 14:06,3/13/2009 8:31
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/MOH 705B_Out Patient Summary_Over 5 years  2009.xls,Robert Wathondu,laikipia west and Nyahururu,1/27/2008 13:30,1/29/2010 11:48
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS 2010.xls,HMIS,HIS ,2/11/2008 10:11,1/18/2011 16:03
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/MOH 105_Service Delivery Summary.xls,Robert Wathondu, JAMES SAINA,2/7/2008 13:50,8/21/2009 6:47
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS.xls,HMIS, JAMES SAINA,2/11/2008 10:11,1/27/2009 9:52
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/MOH 705A_Out Patient Summary_Under 5 years 2011.xls,Robert Wathondu,hmis02,1/27/2008 13:30,2/16/2011 15:35
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/Rift Valley MOH 105_Service Delivery Summary AOP 5 LAIKIPIA WEST.xls,HMIS,saina,2/11/2008 10:11,8/30/2010 13:12
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/MOH 705A_Out Patient Summary_Under 5 years 2010.xls,Robert Wathondu,HIS ,1/27/2008 13:30,1/18/2011 16:00
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/MOH 105_Service Delivery Summary AOP5.xls,Samuel Cheburet,saina,2/7/2008 13:50,9/17/2010 8:03
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/MOH 705A_Out Patient Summary_Under 5 years.xls,Robert Wathondu, JAMES SAINA,1/27/2008 13:30,1/14/2009 7:48
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS 2011.xls,Samuel,hmis02,1/29/2010 16:35,3/7/2011 13:12
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/MOH 105_Service Delivery Summary FY08-09.xls,Samuel Cheburet, JAMES SAINA,2/7/2008 13:50,8/21/2009 6:49
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/MOH 705B_Out Patient Summary_Over 5 years 2011.xls,Robert Wathondu,user,1/27/2008 13:30,4/8/2011 10:48
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/MOH 710_Immunization Summary 2010.xls,Robert Wathondu,user,2/7/2008 14:06,1/8/2011 16:29
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/Hospital Administarative Statistics 2011.xls,D. Muania,user,8/9/2005 5:07,4/9/2011 2:59
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/MOH 105_Service Delivery Summary AOP6.xls,Samuel Cheburet,PHRIO,2/7/2008 13:50,7/26/2011 5:56
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/MOH 717 Service Statistics- Workload 2011.xls,D. Muania,user,8/10/2005 10:27,3/17/2011 13:23
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/MOH 710_Immunization Summary 2011.xls,Robert Wathondu,user,2/7/2008 14:06,4/9/2011 3:23
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/MOH 705B_Out Patient Summary_Over 5 years 2010.xls,Robert Wathondu,user,1/27/2008 13:30,1/8/2011 16:19
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_C 2011.xls,HMIS,user,2/11/2008 10:11,2/8/2011 12:19
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS 2010.xls,Samuel,CHEBURET,1/29/2010 16:35,8/9/2010 17:09
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/MOH 105_Service Delivery Summary.xls,Robert Wathondu,Authorised user,2/7/2008 13:50,11/11/2009 19:34
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/MOH 705A_Out Patient Summary_Under 5 years 2011.xls,Robert Wathondu,user,1/27/2008 13:30,4/8/2011 10:45
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/MOH 705A_Out Patient Summary_Under 5 years 2010.xls,Robert Wathondu,user,1/27/2008 13:30,1/8/2011 16:14
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/MOH 105_Service Delivery Summary AOP5.xls,Samuel Cheburet,SAMUEL,2/7/2008 13:50,10/4/2011 15:00
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS 2011.xls,Samuel,user,1/29/2010 16:35,4/13/2011 8:03
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/INPATIENT ADMINISTRATIVE STATISTICS.xls,D. Muania,user,8/9/2005 5:07,2/8/2011 8:26
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/MOH 105_Service Delivery Summary FY08-09.xls,Samuel Cheburet,SAMUEL,2/7/2008 13:50,10/4/2011 15:00
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/MOH 708/MOH 710_Immunization Summary 2010.xls,Robert Wathondu,user,2/7/2008 14:06,10/10/2010 20:47
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/MOH 708/MOH 717 Service Statistics- Workload 2011 (132).xls,D. Muania,user,8/10/2005 10:27,10/10/2010 20:16
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/MOH 708/MOH 105_Service Delivery Summary AOP6.xls,Samuel Cheburet,user,2/7/2008 13:50,10/10/2010 20:46
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/MOH 708/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS 2010 - 1.xls,Samuel,user,1/29/2010 16:35,10/10/2010 19:57
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/MOH 708/MOH 705B_Out Patient Summary_Over 5 years 2010.xls,Robert Wathondu,user,1/27/2008 13:30,10/10/2010 20:47
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/MOH 708/MOH 705A_Out Patient Summary_Under 5 years 2010.xls,Robert Wathondu,user,1/27/2008 13:30,10/10/2010 20:43
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Butula/MOH 708/INPATIENT ADMINISTRATIVE STATISTICS.xls,D. Muania,user,8/9/2005 5:07,10/10/2010 20:43
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 705B_Out Patient Summary_Over 5 years 2011.xls,Robert Wathondu,Samuel,1/27/2008 13:30,1/29/2010 18:05
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 710_Immunization Summary  2009.xls,Robert Wathondu,CARE,2/7/2008 14:06,1/18/2010 13:44
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 710_Immunization Summary 2010.xls,Robert Wathondu,Ministry of Public Heallth and Sanitation,2/7/2008 14:06,1/12/2011 12:41
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/Hospital Administarative Statistics 2011.xls,D. Muania,SAMUEL,8/9/2005 5:07,2/2/2011 16:06
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 105_Service Delivery Summary AOP6.xls,Samuel Cheburet,SAMUEL,2/7/2008 13:50,9/26/2011 7:09
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 717 Service Statistics- Workload 2011.xls,D. Muania,SAMUEL,8/10/2005 10:27,2/2/2011 10:00
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/Hospital Administrative Statistics 2011.xls,Not working,,,
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 705A_Out Patient Summary_Under 5 years 2009.xls,Robert Wathondu,DMOH Kibwezi,1/27/2008 13:30,2/16/2010 11:33
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/Analysis.xls,,HMIS,10/14/1996 23:33,10/21/2008 7:57
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 710_Immunization Summary 2011.xls,Robert Wathondu,Samuel,2/7/2008 14:06,1/29/2010 18:05
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 705B_Out Patient Summary_Over 5 years 2010.xls,Robert Wathondu,Ministry of Public Heallth and Sanitation,1/27/2008 13:30,1/15/2011 14:10
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS  2009.xls,HMIS,HMIS,2/11/2008 10:11,1/6/2009 14:26
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 705B_Out Patient Summary_Over 5 years.xls,Robert Wathondu,Pascal,1/27/2008 13:30,10/19/2008 7:39
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 710_Immunization Summary.xls,Robert Wathondu,HMIS,2/7/2008 14:06,10/21/2008 8:03
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 705B_Out Patient Summary_Over 5 years  2009.xls,Robert Wathondu,CARE,1/27/2008 13:30,1/18/2010 13:17
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 710_Immunization Summary 2009.xls,Robert Wathondu,CARE,2/7/2008 14:06,1/18/2010 13:44
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS 2010.xls,Samuel,Ministry of Public Heallth and Sanitation,1/29/2010 16:35,10/18/2010 8:24
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 105_Service Delivery Summary.xls,Robert Wathondu,HMIS,2/7/2008 13:50,6/22/2008 10:53
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS.xls,HMIS,HMIS,2/11/2008 10:11,4/21/2008 13:23
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 705A_Out Patient Summary_Under 5 years 2011.xls,Robert Wathondu,Samuel,1/27/2008 13:30,1/29/2010 18:03
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 705A_Out Patient Summary_Under 5 years 2010.xls,Robert Wathondu,Ministry of Public Heallth and Sanitation,1/27/2008 13:30,1/15/2011 14:10
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 105_Service Delivery Summary AOP5.xls,Samuel Cheburet,CARE,2/7/2008 13:50,7/15/2010 21:23
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 705A_Out Patient Summary_Under 5 years.xls,Robert Wathondu,Pascal,1/27/2008 13:30,10/18/2008 16:16
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS 2011.xls,Samuel,CHEBURET,1/29/2010 16:35,8/9/2010 17:09
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 705B_Out Patient Summary_Over 5 years 2009.xls,Robert Wathondu,DMOH Kibwezi,1/27/2008 13:30,2/16/2010 11:32
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Kibwezi/MOH 105_Service Delivery Summary FY08-09.xls,Samuel Cheburet,HMIS,2/7/2008 13:50,8/4/2008 10:08
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/MOH 705B_Out Patient Summary_Over 5 years 2011.xls,Robert Wathondu, ,1/27/2008 13:30,7/17/2011 5:16
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/MOH 710_Immunization Summary 2010.xls,Robert Wathondu,SAMUEL,2/7/2008 14:06,4/5/2011 10:46
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/Hospital Administarative Statistics 2011.xls,D. Muania, ,8/9/2005 5:07,7/17/2011 6:32
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/INPATIENT ADMINISTRATIVE STATISTICS -DISTRICT 2009.xls,D. Muania,DHIRO,8/9/2005 5:07,7/2/2010 16:54
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/INPATIENT ADMINISTRATIVE STATISTICS -DISTRICT.xls,D. Muania,DHIRO,8/9/2005 5:07,1/18/2010 7:15
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/MOH 105_Service Delivery Summary AOP6.xls,Samuel Cheburet,SAMUEL,2/7/2008 13:50,9/25/2011 20:06
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/MOH 717 Service Statistics- Workload 2011.xls,D. Muania,SAMUEL,8/10/2005 10:27,4/14/2011 20:28
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/Hospital Administrative Statistics 2011.xls,Not working,,,
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/MOH 705A_Out Patient Summary_Under 5 years 2009.xls,Robert Wathondu,DHIRO,1/27/2008 13:30,1/18/2010 7:24
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/MOH 710_Immunization Summary 2011.xls,Robert Wathondu, ,2/7/2008 14:06,7/16/2011 5:18
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/MOH 705B_Out Patient Summary_Over 5 years 2010.xls,Robert Wathondu,DHRIO,1/27/2008 13:30,1/18/2011 11:23
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/DISTRICT WORKLOAD MOH 717 2009.xls,D. Muania,DHIRO,8/10/2005 10:27,1/18/2010 7:35
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/MOH 710_Immunization Summary  2010.xlsx,Not working,,,
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS  2009.xls,HMIS,CHEBURET,2/11/2008 10:11,7/4/2010 18:09
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/MOH 705B_Out Patient Summary_Over 5 years.xls,Robert Wathondu,HMIS,1/27/2008 13:30,4/21/2008 12:31
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/MOH 705B_Out Patient Summary_Over 5 years  2009.xls,Robert Wathondu,DHIRO,1/27/2008 13:30,1/18/2010 7:33
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/DISTRICT WORKLOAD MOH 717.xls,D. Muania,DHIRO,8/10/2005 10:27,1/18/2010 7:35
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS 2010.xls,HMIS,DHRIO,2/11/2008 10:11,1/18/2011 11:20
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/MOH 105_Service Delivery Summary.xls,Robert Wathondu,HMIS,2/7/2008 13:50,9/14/2008 18:07
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/MOH 718 Inpatient Morbidity And Mortality Monthly Summary.xls,ROOM 37 HIS,User,1/15/2010 22:37,11/17/2010 14:42
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/MOH 717 Service Statistics- Workload.xls,D. Muania, ,8/10/2005 10:27,7/17/2011 5:08
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/MOH 705A_Out Patient Summary_Under 5 years 2011.xls,Robert Wathondu, ,1/27/2008 13:30,7/17/2011 5:14
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/MOH 705A_Out Patient Summary_Under 5 years 2010.xls,Robert Wathondu,DHRIO,1/27/2008 13:30,1/18/2011 11:21
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/MOH 105_Service Delivery Summary AOP5.xls,Samuel Cheburet,DHRIO,2/7/2008 13:50,7/16/2010 7:56
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS 2011.xls,Samuel, ,1/29/2010 16:35,7/17/2011 6:13
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/INPATIENT ADMINISTRATIVE STATISTICS.xls,D. Muania,DHRIO,8/9/2005 5:07,1/18/2011 12:51
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Meru South/MOH 105_Service Delivery Summary FY08-09.xls,Samuel Cheburet,DHRIO,2/7/2008 13:50,10/12/2009 10:45
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Muranga South/MOH 705B_Out Patient Summary_Over 5 years 2011.xls,Robert Wathondu,Samuel,1/27/2008 13:30,1/29/2010 18:05
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Muranga South/MOH 710_Immunization Summary  2009.xls,Robert Wathondu, ,2/7/2008 14:06,1/13/2010 9:01
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Muranga South/MOH 710_Immunization Summary 2010.xls,Robert Wathondu,HAO,2/7/2008 14:06,12/8/2010 7:55
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Muranga South/Hospital Administarative Statistics 2011.xls,D. Muania,SAMUEL,8/9/2005 5:07,2/2/2011 16:06
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Muranga South/INPATIENT ADMINISTRATIVE STATISTICS -DISTRICT.xls,D. Muania, ,8/9/2005 5:07,12/9/2009 10:16
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Muranga South/MOH 105_Service Delivery Summary AOP6.xls,Samuel Cheburet, ,2/7/2008 13:50,7/15/2011 11:02
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Muranga South/MOH 717 Service Statistics- Workload 2011.xls,D. Muania,SAMUEL,8/10/2005 10:27,2/2/2011 10:00
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Muranga South/Hospital Administrative Statistics 2011.xls,Not working,,,
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Muranga South/MOH 705A_Out Patient Summary_Under 5 years 2009.xls,Robert Wathondu, ,1/27/2008 13:30,1/12/2010 9:39
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Muranga South/dec In patient Morbidity and Mortality Summary.xls,MAIN RECORDS,RECORDS,4/25/2008 12:28,1/21/2010 21:48
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Muranga South/Analysis.xls,,user,10/14/1996 23:33,10/9/2008 6:06
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Muranga South/MOH 710_Immunization Summary 2011.xls,Robert Wathondu,Samuel,2/7/2008 14:06,1/29/2010 18:05
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Muranga South/MOH 105.xls,Not working,,,
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Muranga South/1MOH 105_Service Delivery Summary AOP6.xls,Samuel Cheburet,HAO,2/7/2008 13:50,11/9/2010 8:57
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Muranga South/MOH 705B_Out Patient Summary_Over 5 years 2010.xls,Robert Wathondu,HAO,1/27/2008 13:30,12/8/2010 6:52
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Muranga South/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS  2009.xls,HMIS, ,2/11/2008 10:11,1/14/2010 6:16
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Muranga South/MOH 705B_Out Patient Summary_Over 5 years.xls,Robert Wathondu, ,1/27/2008 13:30,1/12/2009 9:09
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Muranga South/MOH 710_Immunization Summary.xls,Robert Wathondu, ,2/7/2008 14:06,1/12/2009 9:49
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Muranga South/MOH 705B_Out Patient Summary_Over 5 years  2009.xls,Robert Wathondu, ,1/27/2008 13:30,1/12/2010 9:25
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Muranga South/DISTRICT WORKLOAD MOH 717.xls,D. Muania, ,8/10/2005 10:27,12/9/2009 9:33
